epoch	loss	grad_norm	learning_rate	entropy	mean_token_accuracy	num_tokens
0.05427	0.4001	0.3554	3.333e-05	0.3509	0.8597	1.842e+05
0.1085	0.333	0.3083	7.5e-05	0.3707	0.8763	4.068e+05
0.1628	0.2987	0.1951	0.0001167	0.3498	0.8872	6.312e+05
0.2171	0.2498	0.1786	0.0001583	0.2988	0.9035	8.418e+05
0.2714	0.2451	0.166	0.0002	0.242	0.9109	1.055e+06
0.3256	0.2502	0.1612	0.0001999	0.2446	0.9141	1.24e+06
0.3799	0.2163	0.1311	0.0001997	0.2179	0.922	1.451e+06
0.4342	0.277	0.163	0.0001994	0.2687	0.9014	1.621e+06
0.4885	0.225	0.1707	0.000199	0.2355	0.9162	1.796e+06
0.5427	0.2213	0.1576	0.0001984	0.2366	0.9143	1.972e+06
0.597	0.2158	0.1259	0.0001977	0.2206	0.9196	2.158e+06
0.6513	0.2538	0.1165	0.0001969	0.2405	0.9112	2.388e+06
0.7056	0.2304	0.1125	0.000196	0.2502	0.9092	2.61e+06
0.7598	0.243	0.1568	0.0001949	0.2452	0.9144	2.773e+06
0.8141	0.2357	0.1279	0.0001937	0.2397	0.9122	2.969e+06
0.8684	0.2286	0.1202	0.0001924	0.2504	0.9134	3.197e+06
0.9227	0.2219	0.1341	0.000191	0.2057	0.9242	3.426e+06
0.9769	0.2045	0.1128	0.0001895	0.2146	0.9232	3.65e+06
1.022	0.263	0.1599	0.0001878	0.2763	0.9045	3.811e+06
1.076	0.1715	0.1227	0.0001861	0.186	0.9359	3.993e+06
1.13	0.2253	0.1608	0.0001842	0.2208	0.9227	4.172e+06
1.185	0.2086	0.1642	0.0001822	0.2286	0.9204	4.369e+06
1.239	0.1758	0.1688	0.0001801	0.1758	0.9393	4.559e+06
1.293	0.226	0.1862	0.000178	0.2336	0.919	4.763e+06
1.347	0.1858	0.1153	0.0001757	0.1916	0.9303	4.992e+06
1.402	0.1909	0.1449	0.0001733	0.2	0.9283	5.225e+06
1.456	0.2011	0.1196	0.0001708	0.2138	0.9262	5.469e+06
1.51	0.1878	0.1374	0.0001683	0.1958	0.9324	5.663e+06
1.564	0.187	0.1397	0.0001656	0.1967	0.9302	5.92e+06
1.619	0.1853	0.1197	0.0001629	0.1852	0.9346	6.109e+06
1.673	0.2099	0.129	0.0001601	0.2042	0.9273	6.273e+06
1.727	0.1769	0.1047	0.0001572	0.1856	0.9345	6.495e+06
1.782	0.1962	0.1479	0.0001543	0.2097	0.9247	6.686e+06
1.836	0.1864	0.1209	0.0001512	0.2003	0.9298	6.891e+06
1.89	0.1926	0.1382	0.0001481	0.1894	0.9297	7.1e+06
1.944	0.1801	0.1443	0.000145	0.1871	0.9338	7.289e+06
1.999	0.2232	0.1312	0.0001418	0.2338	0.9179	7.478e+06
2.043	0.1948	0.1343	0.0001385	0.1977	0.9406	7.617e+06
2.098	0.1539	0.1337	0.0001352	0.16	0.945	7.809e+06
2.152	0.187	0.1307	0.0001318	0.1959	0.932	8.033e+06
2.206	0.1594	0.1517	0.0001285	0.1562	0.9449	8.249e+06
2.261	0.1548	0.1239	0.000125	0.1573	0.9471	8.461e+06
2.315	0.1477	0.1394	0.0001216	0.1445	0.9495	8.685e+06
2.369	0.1558	0.1664	0.0001181	0.1606	0.9437	8.903e+06
2.423	0.1736	0.1472	0.0001146	0.1768	0.9403	9.083e+06
2.478	0.1697	0.1488	0.000111	0.1625	0.9441	9.276e+06
2.532	0.1441	0.1635	0.0001075	0.1515	0.9491	9.476e+06
2.586	0.1581	0.1227	0.0001039	0.1859	0.9384	9.702e+06
2.64	0.1529	0.1356	0.0001004	0.181	0.9373	9.904e+06
2.695	0.1695	0.1321	9.679e-05	0.1562	0.9457	1.007e+07
2.749	0.1693	0.1541	9.324e-05	0.175	0.9417	1.028e+07
2.803	0.1738	0.1583	8.969e-05	0.1702	0.9405	1.051e+07
2.858	0.1328	0.1647	8.615e-05	0.1538	0.9486	1.071e+07
2.912	0.1749	0.1211	8.264e-05	0.1675	0.941	1.091e+07
2.966	0.1684	0.173	7.914e-05	0.1735	0.9386	1.109e+07
3.011	0.1782	0.1366	7.567e-05	0.1702	0.9437	1.126e+07
3.065	0.14	0.1367	7.223e-05	0.1567	0.951	1.148e+07
3.119	0.117	0.1232	6.883e-05	0.1247	0.9588	1.176e+07
3.174	0.128	0.1653	6.546e-05	0.1268	0.9572	1.197e+07
3.228	0.1543	0.1622	6.214e-05	0.1404	0.9528	1.218e+07
3.282	0.1379	0.142	5.887e-05	0.1462	0.9528	1.237e+07
3.336	0.1359	0.134	5.565e-05	0.1517	0.9506	1.258e+07
